Name,Category,Computation Approach,Computation Structure,Data Type,Dependencies,Description,Field Path,Field Type,Example,Mapping Fields (db),Notes,Priority,REST API Endpoints,Status,Structure Type,Unit,Version Added,WebSocket Contracts,💽 Provider Field (db)
last_updated_at,metadata,(msg_time),,date,,"Timestamp of when the telemetry record was originally created on the GPS tracker device, before transmission to the provider.",last_updated_at,direct,"""""""""2025-01-18T14:30:45Z""""""""",,,,,inactive,simple_value,,1.0.0,,
asset,metadata,,,object,,,asset,direct,,,,,,inactive,nested_object,,1.0.0,,
status,metadata,,,object,,,status,direct,,,,,,inactive,nested_object,,1.0.0,,
location,metadata,,,object,,,location,direct,,,,,,inactive,nested_object,,1.0.0,,
provider,metadata,,,object,,,provider,direct,,,,,,inactive,nested_object,,1.0.0,,
asset,metadata,,,object,,,asset,direct,"""""""{""id"": ""uuid"", ""name"": ""string"", ""type"": 10, ""subtype"": 110, ""group"": {""id"": ""uuid"", ""name"": ""string""}, ""customer_ref"": ""2010-010"", ""accessories"": [{""id"": ""uuid"", ""type_id"": 1, ""type_code"": ""immobilizer"", ""connection"": ""wire"", ""label"": ""Main immobilizer relay""}, {""id"": ""uuid"", ""type_id"": 2, ""type_code"": ""temperature"", ""connection"": ""bluetooth"", ""label"": ""Cold room sensor"", ""sensors"": [{""type"": ""temperature"", ""position"": 1}, {""type"": ""humidity"", ""position"": 1}]}, {""id"": ""uuid"", ""type_id"": 3, ""type_code"": ""fuel_level"", ""connection"": ""wire"", ""label"": ""Fuel probe 1"", ""serial_number"": ""LLS-00933"", ""sensors"": [{""type"": ""fuel_level"", ""position"": 1}]}], ""installation"": {""ignition_input_number"": 1, ""immobilizer_output_number"": 2, ""initial_odometer"": {""value"": 154000, ""unit"": ""km""}, ""initial_engine_hours"": {""value"": 4200, ""unit"": ""h""}}, ""properties"": {""vehicle"": {""serial_number"": ""string"", ""brand"": ""string"", ""model"": ""string"", ""license_plate"": ""string"", ""vin"": ""string"", ""powertrain"": {""primary_energy"": ""diesel|gasoline|electric|hybrid|cng|lng|hydrogen|other"", ""fuel_tank_capacity"": {""value"": 600, ""unit"": ""l""}, ""battery_capacity"": {""value"": 120, ""unit"": ""kwh""}, ""theoretical_consumption"": {""value"": 32.5, ""unit"": ""l/100km""}, ""theoretical_consumption_kwh"": {""value"": 24.3, ""unit"": ""kwh/100km""}}}, ""equipment"": {""serial_number"": ""string"", ""brand"": ""string"", ""model"": ""string"", ""rated_power"": {""value"": 180, ""unit"": ""kw""}, ""energy_source"": ""diesel|electric|hybrid""}, ""phone"": {""platform"": ""ios|android|unknown"", ""platform_version"": ""17.2"", ""employee_id"": ""string"", ""employee_name"": ""string""}, ""site"": {""name"": ""Abidjan Coldroom West"", ""address"": {""line1"": ""Zone industrielle"", ""city"": ""Abidjan"", ""country"": ""CI""}, ""location"": {""latitude"": 5.3561, ""longitude"": -4.0083}, ""surface"": {""value"": 120, ""unit"": ""m2""}, ""capacity_units"": 450, ""temperature_range"": {""min"": {""value"": -25, ""unit"": ""°C""}, ""max"": {""value"": 5, ""unit"": ""°C""}}}}}""""""",,,,,inactive,nested_object,,1.0.0,,
asset_id,metadata,,,string,,,asset.id,direct,"""""""""uuid""""""""",,,,,inactive,simple_value,,1.0.0,,
asset_name,metadata,,,string,,,asset.name,direct,"""""""""string""""""""",,,,,inactive,simple_value,,1.0.0,,
asset_type,metadata,,,number,,,asset.type,direct,"""""""10""""""",,,,,inactive,simple_value,,1.0.0,,
asset_subtype,metadata,,,number,,,asset.subtype,direct,"""""""110""""""",,,,,inactive,simple_value,,1.0.0,,
